Logs,Phi,Delta Phi,Phi - N
3.3010299956639813,1.4953981031087413,0.025132741228718343,1.4897094287033494
3.4771212547196626,1.4438759835898687,0.015079644737231007,1.4424989271818505
3.6989700043360187,1.306902543893354,0.012566370614359173,1.3123704273630055
3.845098040014257,1.029185753316016,0.02638937829015426,1.0570860243168196
3.9030899869919438,0.7539822368615502,0.04523893421169302,0.8060722489496376
3.988273495044722,-0.012231602501192646,0.012231602501192646,-1.9204471022391685e-05
4.041392685158225,-0.5529203070318035,0.013823007675795088,-0.5745536372975483
4.079181246047625,-0.7841415263360124,0.04523893421169302,-0.8389564798339553
4.146128035678238,-1.029185753316016,0.03518583772020568,-1.099354638136332
4.230448921378274,-1.196318482486993,0.032044245066615885,-1.258676150217394
4.301029995663981,-1.2440706908215582,0.025132741228718346,-1.3337652691640844
